Time,log10(Ne),Ne
394.86,7.732,53951062.25
394.92,7.9617,91558780.6
395.02,7.7983,62849235.6
395.07,7.8487,70582981.59
395.16,8.3893,245075557.9
395.26,8.2764,188973105.4
395.37,8.4013,251941667.8
395.53,8.668,465586093.5
395.67,8.5647,367028678.5
395.79,9.086,1218989599
395.87,8.877,753355563.7
396.09,9.2277,1689273620
396.33,9.2638,1835692781
396.42,9.5953,3938220241
396.56,9.3959,2488284304
396.68,9.7154,5192780915
396.75,9.5713,3726490342
396.93,9.701,5023425895
397.09,9.8956,7863212275
397.2,9.7491,5611771770
397.31,10.117,13091819230
397.42,9.8692,7399459543
397.55,10.071,11776059735
397.65,10.095,12445146118
397.71,10.145,13963683611
397.86,10.028,10665961212
397.94,10.354,22594357702
398.07,10.066,11641260294
398.15,10.34,21877616239
398.26,10.311,20464446367
398.48,10.338,21777097724
398.6,10.626,42266861427
398.71,10.383,24154608344
398.83,10.744,55462571296
398.93,10.559,36224299842
399.07,10.705,50699070827
399.21,10.878,75509222767
399.37,10.691,49090787615
399.46,11.085,1.21619E+11
399.56,10.833,68076935869
399.71,11.008,1.01859E+11
399.84,11.152,1.41906E+11
399.94,10.926,84333475776
400.08,11.291,1.95434E+11
400.22,11.106,1.27644E+11
400.35,11.203,1.59588E+11
400.48,11.303,2.00909E+11
400.62,11.188,1.5417E+11
400.71,11.419,2.62422E+11
400.88,11.339,2.18273E+11
401.05,11.448,2.80543E+11
401.12,11.567,3.68978E+11
401.23,11.412,2.58226E+11
401.35,11.567,3.68978E+11
401.49,11.591,3.89942E+11
401.64,11.567,3.68978E+11
401.75,11.81,6.45654E+11
401.85,11.623,4.19759E+11
402.05,11.721,5.26017E+11
402.13,11.834,6.82339E+11
402.25,11.631,4.27563E+11
402.36,11.915,8.22243E+11
403.38,11.899,7.92501E+11
405.32,11.891,7.78037E+11
405.54,11.575,3.75837E+11
405.78,11.372,2.35505E+11
